1,1,1,1,35000.0,1500.0,1
2,1,2,2,27000.0,0.0,1
3,1,3,3,45000.0,2000.0,1
4,2,4,4,57000.0,0.0,1
5,2,3,3,45000.0,0.0,1
6,2,2,1,27000.0,0.0,1
7,2,1,5,35000.0,4000.0,1
8,3,5,6,43000.0,5000.0,1
9,4,6,7,52000.0,6000.0,1
10,4,7,8,38000.0,5000.0,1
11,5,9,1,74000.0,0.0,1
12,5,2,2,27000.0,0.0,1
13,5,10,3,33000.0,2000.0,1
14,5,10,4,41000.0,3000.0,1
15,5,3,3,45000.0,0.0,1
16,5,1,1,35000.0,0.0,1
17,6,10,5,49000.0,2500.0,1
18,6,3,6,69000.0,0.0,1
19,6,4,7,57000.0,4000.0,1
20,7,4,8,21000.0,1000.0,1
21,8,5,1,22000.0,0.0,1
22,8,6,2,23000.0,0.0,1
23,9,1,3,35000.0,0.0,1
24,9,2,4,27000.0,0.0,1
25,9,4,3,57000.0,0.0,1
26,10,5,1,43000.0,0.0,1
27,10,6,5,52000.0,3000.0,1
28,11,7,6,38000.0,4000.0,1
29,11,9,7,74000.0,5000.0,1
30,11,2,8,27000.0,6000.0,1
31,12,10,1,33000.0,0.0,1
32,12,1,2,41000.0,0.0,1
33,12,3,3,45000.0,0.0,1
34,12,1,4,35000.0,0.0,1
35,13,2,3,49000.0,0.0,1
36,13,3,1,69000.0,0.0,1
37,13,4,5,57000.0,0.0,1
38,14,10,6,21000.0,0.0,1
39,15,5,7,22000.0,4500.0,1
40,16,6,8,23000.0,3000.0,1
