1,"ACTIVO",1
2,"ACTIVO",2
3,"ACTIVO",3
4,"ACTIVO",4
5,"ACTIVO",5
6,"ACTIVO",6
7,"ACTIVO",7
8,"ACTIVO",8
9,"ACTIVO",9
10,"ACTIVO",10
11,"ACTIVO",11
12,"ACTIVO",12
13,"ACTIVO",13
14,"ACTIVO",14
15,"ACTIVO",15
16,"ACTIVO",16
17,"ACTIVO",17
18,"ACTIVO",18
19,"DESACTIVO",1
20,"DESACTIVO",2
21,"DESACTIVO",3
22,"DESACTIVO",4
23,"DESACTIVO",5
24,"DESACTIVO",6
25,"DESACTIVO",7
26,"DESACTIVO",8
27,"DESACTIVO",9
28,"DESACTIVO",10
29,"DESACTIVO",11
30,"DESACTIVO",12
31,"DESACTIVO",13
32,"DESACTIVO",14
33,"DESACTIVO",15
34,"DESACTIVO",16
35,"DESACTIVO",17
36,"DESACTIVO",18
