1,800017218,1,"2021-06-15","2021-06-20",75000.0,1
2,2,2,"2021-06-15","2021-06-21",86000.0,1
3,3,3,"2021-06-15","2021-06-22",93000.0,1
4,4,1,"2021-06-16","2021-06-23",75000.0,1
5,5,2,"2021-06-16","2021-06-24",86000.0,1
6,6,3,"2021-06-16","2021-06-25",93000.0,1
7,1,1,"2021-06-15","2021-06-20",75000.0,1
8,2,2,"2021-06-15","2021-06-21",86000.0,1
9,3,3,"2021-06-15","2021-06-22",93000.0,1
10,4,1,"2021-06-16","2021-06-23",75000.0,1
11,5,2,"2021-06-16","2021-06-24",86000.0,1
12,6,3,"2021-06-16","2021-06-25",93000.0,1
13,1,1,"2021-06-15","2021-06-20",75000.0,1
14,2,2,"2021-06-15","2021-06-21",86000.0,1
15,3,3,"2021-06-15","2021-06-22",93000.0,1
16,4,1,"2021-06-16","2021-06-23",75000.0,1
17,5,2,"2021-06-16","2021-06-24",86000.0,1
18,6,3,"2021-06-16","2021-06-25",93000.0,1
