1,1,1,"2021-06-15","2021-06-20",1
2,2,2,"2021-06-15","2021-06-21",1
3,3,3,"2021-06-15","2021-06-22",1
4,4,1,"2021-06-16","2021-06-23",1
5,3,2,"2021-06-16","2021-06-24",1
6,4,3,"2021-06-16","2021-06-25",1
7,1,1,"2021-06-15","2021-06-20",1
8,2,2,"2021-06-15","2021-06-21",1
9,3,3,"2021-06-15","2021-06-22",1
10,4,1,"2021-06-16","2021-06-23",1
11,3,2,"2021-06-16","2021-06-24",1
12,4,3,"2021-06-16","2021-06-25",1
13,1,1,"2021-06-15","2021-06-20",1
14,2,2,"2021-06-15","2021-06-21",1
15,3,3,"2021-06-15","2021-06-22",1
16,4,1,"2021-06-16","2021-06-23",1
17,3,2,"2021-06-16","2021-06-24",1
18,4,3,"2021-06-16","2021-06-25",1
