1,1,"2021-06-15","2021-06-20",1,10,2
2,1,"2021-06-15","2021-06-20",2,5,2
3,1,"2021-06-15","2021-06-22",3,12,2
4,1,"2021-06-16","2021-06-23",4,12,2
5,2,"2021-06-16","2021-06-24",5,2,2
6,2,"2021-06-16","2021-06-25",6,1,2
7,3,"2021-06-15","2021-06-20",7,1,2
8,2,"2021-06-15","2021-06-21",8,4,2
9,1,"2021-06-15","2021-06-22",9,20,2
10,1,"2021-06-16","2021-06-23",1,12,2
11,2,"2021-06-16","2021-06-24",2,3,2
12,3,"2021-06-16","2021-06-25",3,1,2
13,2,"2021-06-15","2021-06-20",4,4,2
14,1,"2021-06-15","2021-06-21",5,6,2
15,1,"2021-06-15","2021-06-22",6,12,2
16,1,"2021-06-16","2021-06-23",7,10,2
17,2,"2021-06-16","2021-06-24",8,2,2
18,2,"2021-06-16","2021-06-25",9,3,2
